brochure_number,type,url,title,tags,start,end,visible_start,store_number,distribution,variety,national,gender,age_range,tracking_bug,options,lang_code,zipcode,layout
180121,default,https://s3.eu-west-1.amazonaws.com/content.di-prod.offerista/pdf/1749216553145/180121_683ea371-66e0-4928-8e22-002f43be90da_2025-06-03-09-25-37.pdf,"Great Value. Hands Down - 11th June",,"2025-06-11T00:00:00 Antarctica/Macquarie","2025-06-17T00:00:00 Antarctica/Macquarie","2025-06-11T00:00:00 Antarctica/Macquarie","312398,312397,312396,312395,312394,312393,312392,312341,312340,312339,312338,312337,312336,294993,294992,294991,294990,294989,283343,283342,283341,283340,283339,283338,283337,283335,283334,283333,283332,283331,283330,283329,283328,283327,283326,283325,283324,283323,283322,283321,283320,283319,283318,283317,283316,283315,283314,283313,283312,283311,280907,280906,280905,280903,280902,280898,280897,280896,280895,280893,280892,280890,280888,280886,280883,280879,280876,280875,280874,280872,280870,280869,280867,280866,280865,280863,280862,280861,280859,280855,280851,280850,280849,280848,280847,280845,280843,280842,280840,278683,278682,278681,275587,275586,275584,275582,275581,275579,65575,65565,65560,65550,65545,65535,65520,65515,65510,65500,65495,65485,65480,65470,65465,65455,65450,65440,65435,65425,65415,65405,65400,65395,65390,65385,65380,65370,65360,65350,65340,65335,65320,65315,65310,65305,65295,65285,65280,65275,65270,65260,65255,65245,65240,65235,65230,65220,65215,65210,65200,65190,65175,65165,65160,65150,65140,65135,65130,65125,65115,65105,65100,65095,65090,65080,65075,65060,65055,65050,65045,65040,65020,65015,65000,64995,64990,64985,64970,64965,64960,64955,64950,64945,64940,64935,64930,64925,64920,64915,64910,64905,64900,64890,64875,64865,64860,64855,64850,64845,64830,64825,64820,64815,64810,64800,64795,64785,64780,64770,64760,64750,64735,64725,64715,64700,64695,64690,64685,64675,64670,64665,64660,64655,64650,64645,64640,64635,64630,64625,64620,64615,64590,64585,64570,64565,64555,64550,64545,64540,64535,64520,64515,64510,64505,64500,64495,64490,64485,64475,64470,64465,64460,64450,64445,64440,64435,64430,64425,64420,64415,64400,64390,64385,64380,64375,64365,64355",,leaflet,,,,,,,,
180122,default,https://s3.eu-west-1.amazonaws.com/content.di-prod.offerista/pdf/1749216566031/180122_683ea35e-9984-486d-b934-026343be90da_2025-06-03-09-25-18.pdf,"Great Value. Hands Down - 11th June",,"2025-06-11T00:00:00 Antarctica/Macquarie","2025-06-17T00:00:00 Antarctica/Macquarie","2025-06-11T00:00:00 Antarctica/Macquarie","294995,294994,283344,65600,65595,65590,65585,65580",,leaflet,,,,,,,,
180123,default,https://s3.eu-west-1.amazonaws.com/content.di-prod.offerista/pdf/1749216582658/180123_683ea399-b5a4-4225-9394-024b43be90da_2025-06-03-09-26-17.pdf,"Great Value. Hands Down - 11th June",,"2025-06-11T00:00:00 Antarctica/Macquarie","2025-06-17T00:00:00 Antarctica/Macquarie","2025-06-11T00:00:00 Antarctica/Macquarie","312410,312409,312408,312407,312356,312355,312354,312353,312352,312351,312350,295005,295004,295003,295002,295001,294999,294997,294996,283371,283370,283369,283368,283365,283364,283363,283362,283361,283360,283358,283357,283356,283355,283350,283349,283346,283345,280960,280958,280956,280955,280949,280948,280945,280944,280943,280934,280928,280927,280925,280920,280919,280916,280912,278685,275595,275594,275593,275592,275590,66395,66390,66385,66375,66370,66365,66355,66330,66325,66320,66315,66310,66290,66285,66275,66255,66250,66245,66215,66210,66205,66200,66195,66190,66180,66165,66155,66150,66145,66120,66115,66105,66095,66090,66080,66075,66070,66050,66045,66040,66035,66030,66005,65990,65985,65960,65950,65940,65935,65930,65925,65920,65915,65910,65890,65855,65850,65845,65840,65835,65825,65820,65815,65805,65795,65790,65775,65770,65765,65755,65740,65735,65730,65725,65710,65700,65675,65670,65655,65650,65640,65635,65630,65610",,leaflet,,,,,,,,
180124,default,https://s3.eu-west-1.amazonaws.com/content.di-prod.offerista/pdf/1749216601755/180124_683ea390-be08-4e58-89ba-023543be90da_2025-06-03-09-26-08.pdf,"Great Value. Hands Down - 11th June",,"2025-06-11T00:00:00 Antarctica/Macquarie","2025-06-17T00:00:00 Antarctica/Macquarie","2025-06-11T00:00:00 Antarctica/Macquarie","312406,312405,312404,312403,312402,312401,312400,312399,312349,312348,312347,312346,312345,312344,312343,312342,308061,295015,295012,295011,295010,295009,295008,283301,283300,283299,283298,283297,283296,283295,283294,283292,283291,283290,283289,283288,283286,283285,283284,283283,283282,283281,281041,281038,281037,281036,281034,281031,281030,281029,281028,281027,281024,281023,281022,281021,281020,281018,281015,281014,281012,281011,281007,281006,281005,281004,281002,281001,281000,280999,280998,280997,280995,280994,280993,280991,280989,280988,280985,280984,280983,280982,278690,278687,67785,67780,67775,67765,67755,67750,67745,67735,67730,67725,67720,67710,67700,67695,67690,67685,67680,67675,67660,67655,67650,67645,67635,67620,67615,67610,67605,67600,67595,67585,67580,67575,67570,67565,67560,67555,67545,67540,67535,67530,67525,67520,67515,67510,67505,67500,67490,67485,67480,67475,67465,67460,67450,67445,67435,67430,67425,67420,67415,67410,67405,67400,67395,67385,67380,67370,67365,67340,67330,67325,67320,67310,67305,67300,67290,67285,67275,67270,67265,67260,67255,67250,67240,67235,67230,67220,67215,67210,67200,67195,67190,67185,67180,67145,67140,67135,67125,67115,67110,67105,67090,67085,67080,67070,67065,67060,67055,67045,67040,67030,66995,66990,66985,66980,66975,66965,66960,66955,66950,66945,66940,66930,66920,66915,66905,66870,66865,66860,66845,66835,66830,66825,66820,66815,66800,66785,66780,66775,66770,66765",,leaflet,,,,,,,,
180125,default,https://s3.eu-west-1.amazonaws.com/content.di-prod.offerista/pdf/1749216617285/180125_683ea38b-d15c-40ba-8b29-024543be90da_2025-06-03-09-26-03.pdf,"Great Value. Hands Down - 11th June",,"2025-06-11T00:00:00 Antarctica/Macquarie","2025-06-17T00:00:00 Antarctica/Macquarie","2025-06-11T00:00:00 Antarctica/Macquarie","312423,312422,312421,312420,312419,312418,312417,312416,312415,312414,312360,312359,295016,283310,283309,283308,283307,283306,283305,283304,283303,283302,281068,281067,281065,281064,281063,281062,281059,281058,281057,281052,281050,281048,281045,275886,275605,275604,275603,68230,68225,68220,68215,68210,68205,68195,68185,68180,68175,68170,68160,68155,68150,68145,68140,68135,68130,68125,68120,68115,68110,68105,68100,68090,68080,68075,68070,68065,68055,68050,68045,68040,68035,68030,68005,67995,67990,67980,67975,67970,67955,67950,67945,67925,67910,67905,67900,67890,67885,67875,67865,67855,67850,67840,67835,67830,67815,67810,67800,67795,67790",,leaflet,,,,,,,,
180126,default,https://s3.eu-west-1.amazonaws.com/content.di-prod.offerista/pdf/1749216631283/180126_683ea38b-41d4-4d14-a3ba-003243be90da_2025-06-03-09-26-03.pdf,"Great Value. Hands Down - 11th June",,"2025-06-11T00:00:00 Antarctica/Macquarie","2025-06-17T00:00:00 Antarctica/Macquarie","2025-06-11T00:00:00 Antarctica/Macquarie","281056,68060,67960,67920,67845",,leaflet,,,,,,,,
180127,default,https://s3.eu-west-1.amazonaws.com/content.di-prod.offerista/pdf/1749216645060/180127_683ea3ed-f0f8-4160-904c-023e43be90da_2025-06-03-09-27-41.pdf,"Great Value. Hands Down - 11th June",,"2025-06-11T00:00:00 Antarctica/Macquarie","2025-06-17T00:00:00 Antarctica/Macquarie","2025-06-11T00:00:00 Antarctica/Macquarie","312391,312390,312389,312357,295000,294998,283367,283352,283351,280953,280942,280931,280929,280924,280918,280917,66360,66350,66335,66300,66270,66235,66230,66185,66140,66130,66110,66085,66055,66010,65945,65885,65880,65750,65720,65705,65690,65680,65660,65625,65615",,leaflet,,,,,,,,
180128,default,https://s3.eu-west-1.amazonaws.com/content.di-prod.offerista/pdf/1749216659279/180128_683ea3f6-f748-4148-81bb-024143be90da_2025-06-03-09-27-50.pdf,"Great Value. Hands Down - 11th June",,"2025-06-11T00:00:00 Antarctica/Macquarie","2025-06-17T00:00:00 Antarctica/Macquarie","2025-06-11T00:00:00 Antarctica/Macquarie","312413,312412,312411,295007,295006,283278,283277,283276,283275,283274,283273,280975,280974,280972,280971,280966,280963,66680,66675,66670,66665,66655,66650,66640,66635,66630,66610,66595,66590,66585,66580,66575,66570,66560,66555,66550,66540,66535,66530,66525,66515,66510,66500,66495,66485,66475,66455,66450,66445,66440,66430,66425,66420,66410,66405,66400",,leaflet,,,,,,,,
180129,default,https://s3.eu-west-1.amazonaws.com/content.di-prod.offerista/pdf/1749216673362/180129_683ea441-2b4c-42a7-973d-026f43be90da_2025-06-03-09-29-05.pdf,"Great Value. Hands Down - 11th June",,"2025-06-11T00:00:00 Antarctica/Macquarie","2025-06-17T00:00:00 Antarctica/Macquarie","2025-06-11T00:00:00 Antarctica/Macquarie","283280,283279,280979,280978,66760,66755,66750,66745,66740,66735,66720,66715,66710,66695,66690,66685",,leaflet,,,,,,,,
